ccode,country,StateAbb,region,regioncode,subregion
700,Afghanistan,AFG,Asia,3,Southern Asia
339,Albania,ALB,Europe,4,Southern Europe
615,Algeria,ALG,Africa,1,Northern Africa
232,Andorra,AND,Europe,4,Southern Europe
540,Angola,ANG,Africa,1,Middle Africa
58,Antigua & Barbuda,AAB,Americas,2,Caribbean
160,Argentina,ARG,Americas,2,South America
371,Armenia,ARM,Asia,3,Western Asia
900,Australia,AUL,Oceania,5,Australia and New Zealand
305,Austria,AUS,Europe,4,Western Europe
300,Austria-Hungary,AUH,Europe,4,Western Europe
373,Azerbaijan,AZE,Asia,3,Western Asia
267,Baden,BAD,Europe,4,Western Europe
31,Bahamas,BHM,Americas,2,Caribbean
692,Bahrain,BAH,Asia,3,Western Asia
771,Bangladesh,BNG,Asia,3,Southern Asia
53,Barbados,BAR,Americas,2,Caribbean
245,Bavaria,BAV,Europe,4,Western Europe
370,Belarus,BLR,Europe,4,Eastern Europe
211,Belgium,BEL,Europe,4,Western Europe
80,Belize,BLZ,Americas,2,Central America
434,Benin,BEN,Africa,1,Western Africa
760,Bhutan,BHU,Asia,3,Southern Asia
145,Bolivia,BOL,Americas,2,South America
346,Bosnia and Herzegovina,BOS,Europe,4,Southern Europe
571,Botswana,BOT,Africa,1,Southern Africa
140,Brazil,BRA,Americas,2,South America
835,Brunei,BRU,Asia,3,Southeastern Asia
355,Bulgaria,BUL,Europe,4,Eastern Europe
439,Burkina Faso,BFO,Africa,1,Western Africa
516,Burundi,BUI,Africa,1,Eastern Africa
811,Cambodia,CAM,Asia,3,Southeastern Asia
471,Cameroon,CAO,Africa,1,Middle Africa
20,Canada,CAN,Americas,2,North America
402,Cape Verde,CAP,Africa,1,Western Africa
482,Central African Republic,CEN,Africa,1,Middle Africa
483,Chad,CHA,Africa,1,Middle Africa
155,Chile,CHL,Americas,2,South America
710,China,CHN,Asia,3,Eastern Asia
100,Colombia,COL,Americas,2,South America
581,Comoros,COM,Africa,1,Eastern Africa
484,Congo,CON,Africa,1,Middle Africa
94,Costa Rica,COS,Americas,2,Central America
344,Croatia,CRO,Europe,4,Southern Europe
40,Cuba,CUB,Americas,2,Caribbean
352,Cyprus,CYP,Asia,3,Western Asia
316,Czech Republic,CZR,Europe,4,Eastern Europe
315,Czechoslovakia,CZE,Europe,4,Eastern Europe
490,Democratic Republic of the Congo,DRC,Africa,1,Middle Africa
390,Denmark,DEN,Europe,4,Northern Europe
522,Djibouti,DJI,Africa,1,Eastern Africa
54,Dominica,DMA,Americas,2,Caribbean
42,Dominican Republic,DOM,Americas,2,Caribbean
860,East Timor,ETM,Asia,3,Southeastern Asia
130,Ecuador,ECU,Americas,2,South America
651,Egypt,EGY,Africa,1,Northern Africa
92,El Salvador,SAL,Americas,2,Central America
411,Equatorial Guinea,EQG,Africa,1,Middle Africa
531,Eritrea,ERI,Africa,1,Eastern Africa
366,Estonia,EST,Europe,4,Northern Europe
530,Ethiopia,ETH,Africa,1,Eastern Africa
987,Federated States of Micronesia,FSM,Oceania,5,Micronesia
950,Fiji,FIJ,Oceania,5,Melanesia
375,Finland,FIN,Europe,4,Northern Europe
220,France,FRN,Europe,4,Western Europe
481,Gabon,GAB,Africa,1,Middle Africa
420,Gambia,GAM,Africa,1,Western Africa
372,Georgia,GRG,Asia,3,Western Asia
265,German Democratic Republic,GDR,Europe,4,Western Europe
260,German Federal Republic,GFR,Europe,4,Western Europe
255,Germany,GMY,Europe,4,Western Europe
452,Ghana,GHA,Africa,1,Western Africa
350,Greece,GRC,Europe,4,Southern Europe
55,Grenada,GRN,Americas,2,Caribbean
90,Guatemala,GUA,Americas,2,Central America
438,Guinea,GUI,Africa,1,Western Africa
404,Guinea-Bissau,GNB,Africa,1,Western Africa
110,Guyana,GUY,Americas,2,South America
41,Haiti,HAI,Americas,2,Caribbean
240,Hanover,HAN,Europe,4,Western Europe
273,Hesse Electoral,HSE,Europe,4,Western Europe
275,Hesse Grand Ducal,HSG,Europe,4,Western Europe
91,Honduras,HON,Americas,2,Central America
310,Hungary,HUN,Europe,4,Eastern Europe
395,Iceland,ICE,Europe,4,Northern Europe
750,India,IND,Asia,3,Southern Asia
850,Indonesia,INS,Asia,3,Southeastern Asia
630,Iran,IRN,Asia,3,Southern Asia
645,Iraq,IRQ,Asia,3,Western Asia
205,Ireland,IRE,Europe,4,Northern Europe
666,Israel,ISR,Asia,3,Western Asia
325,Italy,ITA,Europe,4,Southern Europe
437,Ivory Coast,CDI,Africa,1,Western Africa
51,Jamaica,JAM,Americas,2,Caribbean
740,Japan,JPN,Asia,3,Eastern Asia
663,Jordan,JOR,Asia,3,Western Asia
705,Kazakhstan,KZK,Asia,3,Central Asia
