aid,publication_date,title,url,publisher,country,status,source_name
20190705223817181,2015-07-27T05:00:00Z,Obama to promote counter terrorism and human rights in Ethiopia,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:5GJ6-WHD1-JCKJ-J0VK-00000-00&context=1516831,dpa international (Englischer Dienst),"Federal Democratic Republic of Ethiopia\, Ethiopia,Republic of Kenya\, Kenya,South Sudan,United States",relevant,BulkLexisNexis
20150727125959283,2015-07-27T06:35:44.711Z,New Telegraph   – Obama in Ethiopia for key talks with regional leaders,http://newtelegraphonline.com:80/obama-in-ethiopia-for-key-talks-with-regional-leaders/,,"Federal Democratic Republic of Ethiopia,Republic of Kenya,Republic of Uganda,Republic of the Sudan,South Sudan",relevant,Web
20150727125961613,2015-07-27T08:04:30.397Z,Obama in Ethiopia to discuss 'key issues' with regional leaders | Business Standard News,http://www.business-standard.com:80/article/news-ani/obama-in-ethiopia-to-discuss-key-issues-with-regional-leaders-115072700319_1.html,,"Federal Democratic Republic of Ethiopia,Republic of Kenya,South Sudan,Syrian Arab Republic,United States",relevant,Web
20150727125969430,2015-07-27T13:05:06.371Z,Somalia hotel truck bomb toll rises to 15 | Business Standard News,http://www.business-standard.com:80/article/pti-stories/somalia-hotel-truck-bomb-toll-rises-to-15-115072700913_1.html,,"Republic of Kenya,Somalia",relevant,Web
20190128001610832,2015-08-16T17:00:00Z,South Sudan crisis set to continue as rivals fail to meet 17 August deadline,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:5GP9-ND61-DYRV-311D-00000-00&context=1516831,BBC Monitoring: International Reports,"Federal Democratic Republic of Ethiopia\, Ethiopia,Kingdom of Norway\, Norway,Republic of Kenya\, Kenya,Republic of Uganda\, Uganda,Republic of the Sudan\, Sudan,South Sudan,United Kingdom of Great Britain and Northern Ireland\, United Kingdom",relevant,BulkLexisNexis
20150816125958266,2015-08-16T08:01:23.605Z,FRED OLUOCH : Opposition split jeopardises Juba deal - Opinion/Editorial | The Citizen,http://www.thecitizen.co.tz:80/oped/Opposition-split-jeopardises-Juba-deal/-/1840568/2834724/-/icp3u4/-/index.html,,"Federal Democratic Republic of Ethiopia,Kingdom of Norway,Republic of Kenya,Republic of Uganda,Republic of the Sudan,South Sudan,United Kingdom of Great Britain and Northern Ireland",relevant,Web
20190405220508884,2015-09-10T05:00:00Z,"Pope to Kenya, Uganda, CAR in Nov on first Africa trip: Vatican",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:5GWT-JS11-DY93-M3V5-00000-00&context=1516831,Agence France Presse - English,"Central African Republic,Republic of Kenya\, Kenya,Republic of Uganda\, Uganda,State of the Vatican City\, Vatican",relevant,BulkLexisNexis
20150910125972278,2015-09-10T14:15:04.163Z,"Pope to visit Kenya, Uganda, CAR in Nov on first Africa trip - Royal Times of Nigeria Newspaper",http://royaltimes.net:80/pope-to-visit-kenya-uganda-car-in-nov-on-first-africa-trip/,,"Central African Republic,Republic of Kenya,Republic of Uganda,State of the Vatican City",relevant,Web
20150911125942376,2015-09-11T07:16:29.848Z,"Pope to Kenya, Uganda, CAR in Nov on first Africa trip- Vatican - World",http://www.monitor.co.ug:80/News/World/Pope-Kenya-Uganda-CAR/-/688340/2866306/-/oflyb1/-/index.html,,"Central African Republic,Republic of Kenya,Republic of Uganda,State of the Vatican City",relevant,Web
20150730125971716,2015-07-31T04:05:34.270Z,Border wall will not work- Kalonzo - Politics | Daily Nation,http://www.nation.co.ke:80/news/politics/Building-border-wall-unreasonable-Kalonzo-Musyoka/-/1064/2814810/-/kqr2h7/-/index.html,,"Republic of Kenya,Somalia",relevant,Web
20150725125969747,2015-07-25T16:46:22.942Z,"Obama calls for gay rights in Africa, decries corruption and conflict | News | Africa | M&G",http://mg.co.za:80/article/2015-07-25-obama-calls-for-gay-rights-in-africa-decries-corruption-and-conflict/,,"Federal Democratic Republic of Ethiopia,Republic of Burundi,Republic of Kenya,Somalia,South Sudan,United States",relevant,Web
20150726125969939,2015-07-27T00:02:35Z,Barack Obama tries to save face on South Sudan - Edward-Isaac Dovere - POLITICO,http://www.politico.com:80/story/2015/07/obama-seeks-to-aid-south-sudan-120641.html,,"Federal Democratic Republic of Ethiopia,Republic of Kenya,Republic of Uganda,Republic of the Sudan,United States",relevant,Web
20150725125970705,2015-07-25T17:45:07.388Z,Obama calls for gay rights in Africa | Business Standard News,http://www.business-standard.com:80/article/pti-stories/obama-calls-for-gay-rights-in-africa-115072500981_1.html,,"Republic of Burundi,Republic of Kenya,Somalia,South Sudan,United States",relevant,Web
20150727125982745,2015-07-27T22:25:52.628Z,"Obama in Ethiopia, focus on South Sudan peace bid - World",http://www.monitor.co.ug:80/News/World/Obama-in-Ethiopia-focus-on-South-Sudan-peace-bid/-/688340/2811022/-/wqpfhf/-/index.html,,"Federal Democratic Republic of Ethiopia,Republic of Kenya,Republic of Uganda,Republic of the Sudan,Somalia,South Sudan",relevant,Web
20150728125004939,2015-07-28T05:34:10Z,"South Sudan set to dominate Obama address to African Union | euronews, world news",http://feedproxy.google.com:80/~r/euronews/en/news/~3/nI2t7BhGOCc/story01.htm,,"Federal Democratic Republic of Ethiopia,Republic of Kenya,Republic of Uganda,Republic of the Sudan",relevant,Web
20150910125967939,2015-09-10T11:39:35.426Z,"Pope Francis coming to Africa - will visit Kenya, Uganda, CAR - Times LIVE",http://www.timeslive.co.za:80/africa/2015/09/10/Pope-Francis-coming-to-Africa---will-visit-Kenya-Uganda-CAR,,"Central African Republic,Republic of Kenya,Republic of Uganda,State of the Vatican City",relevant,Web
20190128000550645,2015-07-19T17:00:00Z,"UK assures Kenya of continued military, counter terrorism cooperation",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:5GGB-G951-JC8S-C1B1-00000-00&context=1516831,BBC Monitoring: International Reports,"Republic of Kenya\, Kenya,South Sudan,United Kingdom of Great Britain and Northern Ireland\, United Kingdom",relevant,BulkLexisNexis
20150826033037215,2015-08-26T20:30:34.105Z,South Sudan leader to sign peace deal: Aide | The Chronicle,http://www.chronicle.co.zw:80/south-sudan-leader-to-sign-peace-deal-aide/,,"Federal Democratic Republic of Ethiopia,Republic of Kenya,Republic of Uganda,Republic of the Sudan,South Sudan",relevant,Web
20150726125971231,2015-07-27T00:58:18Z,Obama Finds Kenya at 'crossroads' | Al Jazeera America,http://america.aljazeera.com:80/articles/2015/7/26/obama-finds-kenya-at-crossroads.html,,"Federal Democratic Republic of Ethiopia,Republic of Kenya,Somalia,South Sudan,United States",relevant,Web
20150726125960751,2015-07-26T15:22:06.538Z,"Obama: Kenya at a 'crossroads' between peril and promise, says country faces 'tough choices'",http://www.timescolonist.com:80/obama-kenya-at-a-crossroads-between-peril-and-promise-says-country-faces-tough-choices-1.2012477,,"Federal Democratic Republic of Ethiopia,Republic of Kenya,Somalia,South Sudan,United States",relevant,Web
