aid,publication_date,title,url,publisher,country,status,source_name
20210215121537761,2021-02-15T17:19:42Z,"Wars Trigger Record Levels of Internal Displacement in Middle East, North Africa, Report Finds | Voice of America - English",https://www.voanews.com:443/middle-east/wars-have-triggered-record-levels-internal-displacement-middle-east-north-africa-report,,"Kingdom of Saudi Arabia,Libya,People's Democratic Republic of Algeria,Republic of Iraq,Republic of Yemen,Russian Federation,Syrian Arab Republic,United States",relevant,Web
20210114133232350,2021-01-14T19:25:21Z,facebook,https://www.aljazeera.com:443/news/2021/1/14/five-civilians-killed-in-algeria-bomb-blast-ministry-says,,People's Democratic Republic of Algeria,relevant,Web
20220113075907037,2020-12-02T06:00:00Z,Pundits slam European report on human rights in Algeria,,BBC Monitoring: International Reports,"Libya,People's Democratic Republic of Algeria,People's Republic of China,Republic of France,Russian Federation,State of Israel",relevant,BulkLexisNexis_v2
20201216233756956,2020-12-17T05:00:29Z,"Life has got worse since Arab spring, say people across Middle East | Global development | The Guardian",https://www.theguardian.com:443/global-development/2020/dec/17/arab-spring-people-middle-east-poll,,"Arab Republic of Egypt,Lebanon,Libya,People's Democratic Republic of Algeria,Republic of Iraq,Republic of Tunisia,Republic of Yemen,Republic of the Sudan,Syrian Arab Republic",relevant,Web
20210217093522366,2021-02-17T15:33:24Z,South Africa-Algeria Chairmanship of the AU was a Major Setback for Africa,https://www.moroccoworldnews.com:443/2021/02/335237/south-africa-algeria-chairmanship-of-the-au-was-a-major-setback-for-africa/,,"Arab Republic of Egypt,Burkina Faso,Central African Republic,Democratic Republic of the Congo,Federal Democratic Republic of Ethiopia,Federal Republic of Nigeria,Isle of Man,Kingdom of Morocco,Libya,People's Democratic Republic of Algeria,Republic of Cameroon,Republic of Mali,Republic of Mozambique,Republic of Niger,Republic of South Africa,Republic of the Sudan,State of Eritrea",relevant,Web
20210217080720758,2021-02-17T14:05:09Z,Power Struggles Dominate Revolutionary Anniversaries in North Africa,https://www.moroccoworldnews.com:443/2021/02/335229/power-struggles-dominate-revolutionary-anniversaries-in-north-africa/,,"Isle of Man,Kingdom of Morocco,Libya,People's Democratic Republic of Algeria,Republic of Tunisia,Western Sahara",relevant,Web
20201202091358016,2020-12-02T14:57:00Z,"National security podcast: Intelligence matters, CBS News - CBS News",https://www.cbsnews.com:443/news/intelligence-matters-a-cbs-news-original-national-security-podcast/,,"Islamic Republic of Afghanistan,Kingdom of Bahrain,People's Democratic Republic of Algeria,United States",relevant,Web
20210114070654493,2021-01-14T13:01:32Z,facebook,https://www.aljazeera.com:443/news/2021/1/14/french-officers-convicted-over-deadly-initiation-ritual,,"People's Democratic Republic of Algeria,Republic of France",relevant,Web
20210218153601438,2021-02-18T21:08:03Z,Man sentenced to death in Algeria for beheading of French mountaineer | World news | The Guardian,https://www.theguardian.com:443/world/2021/feb/18/man-sentenced-to-death-in-algeria-for-beheading-of-french-mountaineer,,"People's Democratic Republic of Algeria,Republic of France,Republic of Iraq,Syrian Arab Republic",relevant,Web
20201217113920168,2020-12-17T17:13:51Z,"Ten Years Later, Arab Spring Left Many with Unfulfilled Promises | Voice of America - English",https://www.voanews.com:443/middle-east/ten-years-later-arab-spring-left-many-unfulfilled-promises,,"Arab Republic of Egypt,Hashemite Kingdom of Jordan,Libya,People's Democratic Republic of Algeria,Republic of Tunisia,Republic of Yemen,Syrian Arab Republic,United Arab Emirates",relevant,Web
