aid,publication_date,title,url,publisher,country,status,source_name
94237997,2011-04-08T15:38:02Z,Oil Climbs Towards $112 - Newsroom America,,,"Federal Republic of Nigeria,Libya,State of Kuwait,United States",relevant,Web
98788034,2011-05-24T03:12:07Z,"Nigeria's democratic advancement, good sign for Africa - Afrique en Ligue",,,"Arab Republic of Egypt,Federal Republic of Nigeria,Libya,Republic of Cote d'Ivoire,Republic of Guinea,Republic of Kenya,Republic of Niger,Republic of South Africa,Republic of Tunisia,United States",relevant,Web
94635324,2011-04-12T17:03:44Z,Why is Libyan conflict heating up gas prices? - Tbo.com,,,"Arab Republic of Egypt,Federal Republic of Nigeria,Kingdom of Bahrain,Kingdom of Saudi Arabia,Libya,People's Democratic Republic of Algeria,Republic of Yemen",relevant,Web
93510543,2011-04-01T21:25:55Z,Jonathan approves land deed for IBB Golf Course - Nigeria Daily Independent,,,Federal Republic of Nigeria,irrelevant,Web
98590217,2011-05-20T16:48:32Z,Some reflections on the nation's political past - Vanguard,,,Federal Republic of Nigeria,relevant,Web
20140707081300581,2011-03-09T02:11:38.051Z,,http://www.lexusnexus.com/,,"Burkina Faso,Federal Republic of Nigeria,Libya,Republic of Cote d'Ivoire,Republic of Guinea,Republic of Liberia,Republic of Sierra Leone,United States",relevant,LexisNexis
91112039,2011-03-11T04:49:15Z,Technological path for Nigeria from the ashes of Biafra - Vanguard,,,Federal Republic of Nigeria,relevant,Web
95538738,2011-04-20T12:05:22Z,Two clubs forfeit African Champions League home advantage - Yahoo! Eurosport UK,,,"Kingdom of Morocco,Libya,Republic of Cote d'Ivoire",irrelevant,Web
95819213,2011-04-22T15:06:27Z,Nigeria unrest 'recalls lead-up to 1967 Biafra war'Scenes of - AngolaPress,,,Federal Republic of Nigeria,relevant,Web
95540328,2011-04-20T13:03:43Z,Two clubs forfeit African Champions League home advantage - Reuters Africa,,,"Kingdom of Morocco,Libya,Republic of Cote d'Ivoire",irrelevant,Web
95728960,2011-04-21T21:10:53Z,Nigerian leader calls for end to violence - Dalje.com,,,Federal Republic of Nigeria,relevant,Web
96126168,2011-04-25T21:06:30Z,3 dead in northern Nigeria on eve of governorship elections,,,Federal Republic of Nigeria,relevant,Web
98205651,2011-05-16T15:03:27Z,Nigeria: 41 Years Enough to Heal Wounds of Civil War- Gowon,,,Federal Republic of Nigeria,relevant,Web
98525421,2011-05-20T04:21:50Z,You are here: Analysis Columnists Political thugs: who's going to rehabilitate ... - BusinessDay,,,"Federal Republic of Nigeria,Republic of Niger",relevant,Web
95689510,2011-04-21T15:20:12Z,Nigeria leader says unrest recalls civil war build-up - FRANCE 24,,,Federal Republic of Nigeria,relevant,Web
95993414,2011-04-24T15:02:11Z,Mass burials held in rural Nigeria,,,Federal Republic of Nigeria,relevant,Web
20140707084114582,2011-03-26T01:41:08.568Z,,http://www.lexusnexus.com/,,"Federal Republic of Nigeria,Libya",relevant,LexisNexis
95861204,2011-04-22T22:03:39Z,Nigeria violence an echo of nation's bloody past - SunHerald.com,,,"Federal Republic of Nigeria,United Kingdom of Great Britain and Northern Ireland",relevant,Web
95539758,2011-04-20T13:03:41Z,Two clubs forfeit African Champions League home advantage - euronews,,,"Kingdom of Morocco,Libya,Republic of Cote d'Ivoire",irrelevant,Web
99340373,2011-05-29T19:45:04Z,Nigerian president inaugurated weeks after violence,,,Federal Republic of Nigeria,relevant,Web
90844033,2011-03-09T10:25:00Z,Libya: Libya Crisis - Nation Will Increase Oil Output - NNPC,,,"Federal Republic of Nigeria,Libya",relevant,Web
99342956,2011-05-29T19:53:23Z,Tense Nigeria inaugurates president - Dalje.com,,,Federal Republic of Nigeria,relevant,Web
93676398,2011-04-04T00:02:23Z,Next Problem for Oil: Nigerian Elections - Wall Street Journal,,,"Federal Republic of Nigeria,Libya",relevant,Web
97910236,2011-05-10T15:03:33Z,IBB And His Passion for One Nation,,,"Federal Republic of Nigeria,Republic of the Sudan",relevant,Web
95663501,2011-04-21T09:58:11Z,Bangkok Post : Nigeria leader says unrest echoes civil war era - Bangkok Post,,,Federal Republic of Nigeria,relevant,Web
20140707093235830,2011-04-26T02:32:00.469Z,,http://www.lexusnexus.com/,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France,Republic of Liberia",relevant,LexisNexis
90743604,2011-03-08T16:43:40Z,Nigeria fights oil bandits - Dalje.com,,,"Federal Republic of Nigeria,Libya",relevant,Web
94110766,2011-04-07T15:46:31Z,Wanted: An Intellectual Revolution In Nigeria - P.M. News,,,Federal Republic of Nigeria,relevant,Web
91387789,2011-03-13T22:42:39Z,An Opportunity Lost - Newswatch (subscription),,,"Federal Republic of Nigeria,Union of Soviet Socialist Republics,United States",relevant,Web
98046995,2011-05-11T15:39:50Z,"Defense Minister, NIPPS Delegation Discuss - The Inquirer",,,"Federal Republic of Nigeria,Republic of Liberia",relevant,Web
91696375,2011-03-16T13:00:34Z,Nigeria: Still on the Parlous State of the Polity And Economy,,,"Federal Republic of Nigeria,Republic of Benin,Republic of Ghana,Republic of South Africa,Republic of the Sudan,Somalia",relevant,Web
95823188,2011-04-22T15:25:05Z,Nigeria leader says unrest recalls civil war build-up - Radio Netherlands,,,"Federal Republic of Nigeria,Federal Republic of Yugoslavia,Kingdom of Cambodia,Lebanon,Republic of Rwanda",relevant,Web
91696370,2011-03-16T13:00:34Z,Nigeria: Fifty Thousand Buried Bombs in South-East -Ministry,,,Federal Republic of Nigeria,relevant,Web
92890251,2011-03-26T19:18:39Z,Nigeria&#039;s ruling party faces possible runoff,,,"Federal Republic of Nigeria,Republic of Yemen,United States",relevant,Web
20190721033445055,2011-05-29T05:00:00Z,Tense Nigeria inaugurates president,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:5303-HNC1-DY83-T2R0-00000-00&context=1516831,UPI (United Press International),Federal Republic of Nigeria,relevant,BulkLexisNexis_v2
93924071,2011-04-06T03:24:05Z,Johannesburg to host African Youth Championship - BusinessDay,,,"Arab Republic of Egypt,Federal Republic of Nigeria,Gambia,Kingdom of Lesotho,Libya,Republic of Cameroon,Republic of Colombia,Republic of Ghana,Republic of Kenya,Republic of Mali,Republic of South Africa",irrelevant,Web
93138151,2011-03-29T13:13:18Z,Sierra Leone: Christian- Muslim Ties (Observation) - Onislam.net,,,"Federal Republic of Nigeria,Gambia,Republic of Sierra Leone",relevant,Web
92906122,2011-03-27T01:13:35Z,Nigeria&#039;s ruling party faces possible runoff,,,"Federal Republic of Nigeria,Republic of Yemen",relevant,Web
96094966,2011-04-25T15:35:45Z,"CAN wants Buhari,others sanctioned over mayhem â€“ The Guardian - Nigerian Bulletin",,,Federal Republic of Nigeria,relevant,Web
20190721033153443,2011-04-21T05:00:00Z,Nigerian leader calls for end to violence,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:52P0-9CC1-DY83-T4GH-00000-00&context=1516831,UPI (United Press International),Federal Republic of Nigeria,relevant,BulkLexisNexis_v2
93278746,2011-03-31T03:10:52Z,UN imposes sanctions on Gbagbo,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France",relevant,Web
20190616013122541,2011-04-16T05:00:00Z,"Facts about Nigeria, which is voting for president",https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:52MX-FFP1-JBGK-G2PN-00000-00&context=1516831,The Associated Press (same day),"Federal Republic of Nigeria,Republic of Benin,Republic of Cameroon,Republic of Chad,Republic of Niger,United Kingdom of Great Britain and Northern Ireland",relevant,BulkLexisNexis_v2
95098733,2011-04-16T09:47:04Z,"Facts about Nigeria, which is voting for president - MiamiHerald.com",,,"Federal Republic of Nigeria,Republic of Benin,Republic of Cameroon,Republic of Chad,Republic of Niger,United Kingdom of Great Britain and Northern Ireland",relevant,Web
20140707101147874,2011-05-17T03:11:32.558Z,,http://www.lexusnexus.com/,,"Federal Republic of Nigeria,Republic of Benin,Republic of Cameroon,Republic of Chad,Republic of Niger,United Kingdom of Great Britain and Northern Ireland",relevant,LexisNexis
20220114040401564,2011-04-16T05:00:00Z,"Facts about Nigeria, which is voting for president",,Associated Press Online,"Federal Republic of Nigeria,Republic of Benin,Republic of Cameroon,Republic of Chad,Republic of Niger,United Kingdom of Great Britain and Northern Ireland",relevant,BulkLexisNexis_v2
95675576,2011-04-21T11:10:47Z,Goodluck Jonathan : Civil War Redux But Polls Proceed - NewsTime,,,Federal Republic of Nigeria,relevant,Web
20140707094112905,2011-05-01T02:40:14.339Z,,http://www.lexusnexus.com/,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France,Republic of Liberia",relevant,LexisNexis
93676466,2011-04-04T00:02:23Z,Next Problem for Oil: Nigerian Elections - MarketWatch,,,"Federal Republic of Nigeria,Kingdom of Saudi Arabia,Libya,Mexico,United States",relevant,Web
92874146,2011-03-26T13:19:55Z,US recognises Ouattara as Ivory Coast president,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France,Republic of Yemen,United States",relevant,Web
93311023,2011-03-31T09:36:02Z,UN imposes sanctions on Gbagbo - Manila Bulletin,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France",relevant,Web
20140707102027252,2011-05-22T03:19:45.763Z,,http://www.lexusnexus.com/,,Federal Republic of Nigeria,relevant,LexisNexis
93272701,2011-03-31T00:02:59Z,UN imposes sanctions on Ivory Coast's Gbagbo - Ynetnews,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France",relevant,Web
98700354,2011-05-21T16:32:26Z,France pledges support for Nigeria - Panapress (subscription),,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France",relevant,Web
90802877,2011-03-09T00:27:28Z,Kanu asks FG to absorb Biafran scientists - Vanguard,,,Federal Republic of Nigeria,relevant,Web
92414861,2011-03-22T15:06:41Z,Nigeria condemns world focus on Libya over I.Coast - Reuters India,,,"Federal Republic of Nigeria,Libya,Republic of Cote d'Ivoire,Republic of Sierra Leone,United States",relevant,Web
95795375,2011-04-22T09:26:38Z,Sub-Sahara African social uprisings - NL-Aid,,,"Burkina Faso,Federal Republic of Nigeria,People's Republic of China,Republic of Angola,Republic of France,Republic of Ghana,Republic of Liberia,Republic of Mali,Republic of Sierra Leone,Republic of Uganda,Socialist Republic of Vietnam,United Kingdom of Great Britain and Northern Ireland",relevant,Web
95995107,2011-04-24T15:07:10Z,Nigeria- Mass Burials Held Following Violence - Botswana Gazette,,,Federal Republic of Nigeria,relevant,Web
95900872,2011-04-23T09:15:40Z,Nigeria violence an echo of nation&#039;s bloody past,,,"Federal Republic of Nigeria,United States",relevant,Web
20140707100426680,2011-05-13T03:03:35.303Z,,http://www.lexusnexus.com/,,"Burkina Faso,Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France,Republic of Ghana,Republic of Liberia,United States",relevant,LexisNexis
92437831,2011-03-22T19:49:23Z,Nigeria condemns world focus on Libya over Ivory Coast,,,"Federal Republic of Nigeria,Libya,Republic of Cote d'Ivoire,United States",relevant,Web
92766647,2011-03-25T13:19:28Z,Africans want UN action on Gbagbo - Ghana Broadcasting Corporation,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire",relevant,Web
90715980,2011-03-08T11:20:48Z,UPDATE 1-Nigeria will boost crude oil output if OPEC asks,,,"Federal Republic of Nigeria,Libya,State of Kuwait",relevant,Web
92890277,2011-03-26T19:18:39Z,France asks UN council to sanction I.Coast&#039;s Gbagbo,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France,Republic of Yemen",relevant,Web
90966755,2011-03-10T04:41:59Z,Nigeria ready to boost crude oil output on OPEC demand - Nigerian Compass (blog),,,"Federal Republic of Nigeria,Libya,State of Kuwait",relevant,Web
95855030,2011-04-22T21:18:10Z,Nigeria violence an echo of nation&#039;s bloody past,,,Federal Republic of Nigeria,relevant,Web
20190330045923837,2011-04-21T05:00:00Z,Nigeria leader says unrest recalls civil war build-up,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:52P0-9BV1-JBV1-X11J-00000-00&context=1516831,Agence France Presse - English,"Federal Republic of Nigeria\, Nigeria",relevant,BulkLexisNexis
93813256,2011-04-05T05:03:29Z,St. Mary's newest priest happy to be able to help those in need - Huntington Herald Dispatch,,,"Federal Republic of Nigeria,United States",relevant,Web
95688609,2011-04-21T15:17:26Z,Nigeria Mayhem Reminiscent of Civil War - Onislam.net,,,Federal Republic of Nigeria,relevant,Web
92833769,2011-03-26T01:15:08Z,France asks U.N. council to sanction Ivory Coast&#039;s Gbagbo,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France,Republic of Yemen",relevant,Web
95999916,2011-04-24T15:26:30Z,Buhari should find grace to accept defeat â€“ Fani-Kayode â€“ Vanguard - Nigerian Bulletin,,,Federal Republic of Nigeria,relevant,Web
95663695,2011-04-21T10:02:11Z,"Nigerian leader warns rioters, says chaos bring memories of civil war - CNN International",,,Federal Republic of Nigeria,relevant,Web
92873921,2011-03-26T13:17:27Z,Opposition Moves to Stop Presidential Debate,,,Republic of Yemen,relevant,Web
92641951,2011-03-24T13:06:07Z,Nigeria urges firmer UN stance on Ivory Coast - AngolaPress,,,"Federal Republic of Nigeria,Republic of Angola,Republic of Cote d'Ivoire",relevant,Web
98757960,2011-05-22T10:32:18Z,France pledges support for Nigeria - Afrique en Ligue,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France",relevant,Web
93953060,2011-04-06T09:48:39Z,Photo: Sun News Publishing - Daily Sun,,,"Arab Republic of Egypt,Federal Republic of Nigeria,Gambia,Kingdom of Lesotho,Libya,Republic of Cameroon,Republic of Colombia,Republic of Ghana,Republic of Kenya,Republic of Mali,Republic of South Africa",irrelevant,Web
95770325,2011-04-22T03:29:15Z,Nigeria leader says unrest recalls civil war build-up,,,Federal Republic of Nigeria,relevant,Web
93658892,2011-04-03T21:04:02Z,What's causing the conflict in Ivory Coast?,,,"Federal Republic of Nigeria,Kingdom of the Netherlands,Libya,Republic of Cote d'Ivoire,Republic of France,Republic of Kenya,Republic of Liberia,Republic of Sierra Leone,Republic of South Africa,United Kingdom of Great Britain and Northern Ireland,United States",relevant,Web
92859608,2011-03-26T07:27:53Z,UPDATE 2-France asks UN council to sanction I.Coast&#039;s Gbagbo,,,"Federal Republic of Nigeria,Republic of Cote d'Ivoire,Republic of France,Republic of Yemen",relevant,Web
93249547,2011-03-30T22:03:54Z,"Therapeutic foods to save Nigerians from cancers, diabetes - Nigeria Daily Independent",,,"Federal Republic of Nigeria,United States",irrelevant,Web
96929176,2011-05-02T12:03:19Z,Nigeria: The Morning After - New York Times,,,"Federal Republic of Nigeria,United States",relevant,Web
20140707102116497,2011-05-22T03:19:45.763Z,,http://www.lexusnexus.com/,,Federal Republic of Nigeria,relevant,LexisNexis
20190330044842643,2011-03-25T05:00:00Z,Abidjan on brink of civil war: French UN envoy,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:52G7-3CR1-DY93-M51H-00000-00&context=1516831,Agence France Presse - English,"Federal Republic of Nigeria\, Nigeria,Republic of Cote d'Ivoire\, Ivory Coast,Republic of France\, France",relevant,BulkLexisNexis
