"","conflict_id","country","ccode","year","subregion","reported_country","reported_ccode","reported_subregion","samereg","side_a","side_a_id","side_a_2nd","side_b","side_b_id","side_b_2nd","incompatibility","territory_name","intensity_level","cumulative_intensity","type_of_conflict","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","gwno_a","gwno_a_2nd","gwno_b","gwno_b_2nd","gwno_loc","region","version"
"1","287","Burundi",516,"2014","Eastern Africa","Comoros",581,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"2","287","Burundi",516,"2014","Eastern Africa","Djibouti",522,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"3","287","Burundi",516,"2014","Eastern Africa","Eritrea",531,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"4","287","Burundi",516,"2014","Eastern Africa","Ethiopia",530,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"5","287","Burundi",516,"2014","Eastern Africa","Kenya",501,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"6","287","Burundi",516,"2014","Eastern Africa","Madagascar",580,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"7","287","Burundi",516,"2014","Eastern Africa","Malawi",553,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"8","287","Burundi",516,"2014","Eastern Africa","Mauritius",590,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"9","287","Burundi",516,"2014","Eastern Africa","Mozambique",541,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
"10","287","Burundi",516,"2014","Eastern Africa","Rwanda",517,"Eastern Africa",1,"Government of Burundi","93",NA,"RED-TABARA","6513",NA,"2",NA,"1","1","3","1965-10-18","1","2014-12-30","1","0",NA,NA,"516",NA,NA,NA,"516","4","21.1"
